frame.time_relative,ip.src,ip.dst,_ws.col.protocol,tcp.seq,tcp.ack,tcp.nxtseq,_ws.col.info,mqtt.msg_text,tcp.payload
"82.367750000","192.168.146.112","192.168.146.97","TCP","49","91495","49","61932 → 8883 [ACK] Seq=49 Ack=91495 Win=64256 Len=0",,
"82.367841000","192.168.146.97","192.168.146.112","MQTT","91495","49","91571","Publish Message [ecg]","{""data"": {""time"": ""13:01:12:166"", ""sig no"": 1205, ""value"": 0.526009}}","304a00036563677b2264617461223a207b2274696d65223a202231333a30313a31323a313636222c2022736967206e6f223a20313230352c202276616c7565223a20302e3532363030397d7d"
"82.372593000","192.168.146.97","192.168.146.187","TCP","5","91581","5","8883 → 51901 [ACK] Seq=5 Ack=91581 Win=64339 Len=0",,
"82.376657000","192.168.146.187","192.168.146.97","MQTT","91581","5","91658","Publish Message [ecg][Malformed Packet]","{""data"": {""time"": ""13:01:12:220"", ""sig no"": 1206, ""value"": 0.5577478}}","304b00036563677b2264617461223a207b2274696d65223a202231333a30313a31323a323230222c2022736967206e6f223a20313230362c202276616c7565223a20302e353537373437387d7d"
"82.420128000","192.168.146.97","192.168.146.187","TCP","5","91658","5","8883 → 51901 [ACK] Seq=5 Ack=91658 Win=64262 Len=0",,
"82.424213000","192.168.146.187","192.168.146.97","MQTT","91658","5","91733","Publish Message [ecg]","{""data"": {""time"": ""13:01:12:275"", ""sig no"": 1207, ""value"": 0.56141}}","304900036563677b2264617461223a207b2274696d65223a202231333a30313a31323a323735222c2022736967206e6f223a20313230372c202276616c7565223a20302e35363134317d7d"
"82.434680000","192.168.146.112","192.168.146.97","TCP","49","91571","49","61932 → 8883 [ACK] Seq=49 Ack=91571 Win=65536 Len=0",,
"82.434764000","192.168.146.97","192.168.146.112","MQTT","91571","49","91723","Publish Message [ecg], Publish Message [ecg]","{""data"": {""time"": ""13:01:12:220"", ""sig no"": 1206, ""value"": 0.5577478}},{""data"": {""time"": ""13:01:12:275"", ""sig no"": 1207, ""value"": 0.56141}}","304b00036563677b2264617461223a207b2274696d65223a202231333a30313a31323a323230222c2022736967206e6f223a20313230362c202276616c7565223a20302e353537373437387d7d304900036563677b2264617461223a207b2274696d65223a202231333a30313a31323a323735222c2022736967206e6f223a20313230372c202276616c7565223a20302e35363134317d7d"
"82.467255000","192.168.146.97","192.168.146.187","TCP","5","91733","5","8883 → 51901 [ACK] Seq=5 Ack=91733 Win=64187 Len=0",,
"82.475874000","192.168.146.187","192.168.146.97","TCP","91733","5","91735","",,"304b"
"82.491954000","192.168.146.112","192.168.146.97","TCP","49","91723","49","61932 → 8883 [ACK] Seq=49 Ack=91723 Win=65536 Len=0",,
"82.530077000","192.168.146.97","192.168.146.187","TCP","5","91735","5","8883 → 51901 [ACK] Seq=5 Ack=91735 Win=64185 Len=0",,
"82.535295000","192.168.146.187","192.168.146.97","MQTT","91735","5","91887","Publish Message [ecg], Publish Message [ecg]","{""data"": {""time"": ""13:01:12:331"", ""sig no"": 1208, ""value"": 0.4935225}},{""data"": {""time"": ""13:01:12:386"", ""sig no"": 1209, ""value"": 0.4974288}}","00036563677b2264617461223a207b2274696d65223a202231333a30313a31323a333331222c2022736967206e6f223a20313230382c202276616c7565223a20302e343933353232357d7d304b00036563677b2264617461223a207b2274696d65223a202231333a30313a31323a333836222c2022736967206e6f223a20313230392c202276616c7565223a20302e343937343238387d7d"
"82.536111000","192.168.146.97","192.168.146.112","MQTT","91723","49","91800","Publish Message [ecg]","{""data"": {""time"": ""13:01:12:331"", ""sig no"": 1208, ""value"": 0.4935225}}","304b00036563677b2264617461223a207b2274696d65223a202231333a30313a31323a333331222c2022736967206e6f223a20313230382c202276616c7565223a20302e343933353232357d7d"
"82.576919000","192.168.146.97","192.168.146.187","TCP","5","91887","5","8883 → 51901 [ACK] Seq=5 Ack=91887 Win=64033 Len=0",,
